"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Galectin-4","LGALS4","P56470","CHEMBL1671608","Other cytosolic protein","0.0702187939694","0 /  3     "
"Galectin-8","LGALS8","O00214","CHEMBL5475","Other cytosolic protein","0.0702187939694","0 /  3     "
"Maltase-glucoamylase","MGAM","O43451","CHEMBL2074","Hydrolase","0.041891066893","0 /  7     "
"Sucrase-isomaltase","SI","P14410","CHEMBL2748","Enzyme","0.041891066893","0 /  8     "
"Galectin-3","LGALS3","P17931","CHEMBL4531","Other cytosolic protein","0.041891066893","1 /  13     "
"P47929","LGALS7","P47929","CHEMBL5008","Other cytosolic protein","0.041891066893","0 /  1     "
"Basic fibroblast growth factor","FGF2","P09038","CHEMBL3107","Secreted protein","0.041891066893","5 /  6     "
"Vascular endothelial growth factor A","VEGFA","P15692","CHEMBL1783","Secreted protein","0.041891066893","2 /  2     "
"Acidic fibroblast growth factor","FGF1","P05230","CHEMBL2120","Secreted protein","0.041891066893","3 /  3     "
"Heparanase","HPSE","Q9Y251","CHEMBL3921","Enzyme","0.041891066893","2 /  2     "
"Myelin-associated glycoprotein","MAG","P20916","CHEMBL5807","Unclassified protein","0.041891066893","1 /  23     "
"Somatostatin receptor 5","SSTR5","P35346","CHEMBL1792","Family A G protein-coupled receptor","0.041891066893","0 /  12     "
"Somatostatin receptor 2","SSTR2","P30874","CHEMBL1804","Family A G protein-coupled receptor","0.041891066893","0 /  5     "
"Somatostatin receptor 4","SSTR4","P31391","CHEMBL1853","Family A G protein-coupled receptor","0.041891066893","0 /  5     "
"Somatostatin receptor 1","SSTR1","P30872","CHEMBL1917","Family A G protein-coupled receptor","0.041891066893","0 /  3     "
"Somatostatin receptor 3","SSTR3","P32745","CHEMBL2028","Family A G protein-coupled receptor","0.041891066893","0 /  7     "
"Leukocyte adhesion molecule-1","SELL","P14151","CHEMBL3161","Adhesion","0.041891066893","0 /  12     "
"Selectin E","SELE","P16581","CHEMBL3890","Adhesion","0.041891066893","0 /  4     "
"Pancreatic alpha-amylase","AMY2A","P04746","CHEMBL2045","Hydrolase","0.0","3 /  5     "
"Vanilloid receptor","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.0","0 /  1     "
"Melanin-concentrating hormone receptor 1","MCHR1","Q99705","CHEMBL344","Family A G protein-coupled receptor","0.0","0 /  14     "
"HERG","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.0","0 /  3     "
"Acidic mammalian chitinase","CHIA","Q9BZP6","CHEMBL1293197","Enzyme","0.0","0 /  1     "
"Phospholipase A2 group IIC","PLA2G2C","Q5R387","CHEMBL2097","Enzyme","0.0","0 /  3     "
"Nucleotide-binding oligomerization domain-containing protein 2","NOD2","Q9HC29","CHEMBL1293266","Unclassified protein","0.0","0 /  1     "
"Beta-glucocerebrosidase","GBA","P04062","CHEMBL2179","Enzyme","0.0","0 /  15     "
"Adenosine A2a receptor   (by homology)","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","0.0","2 /  0     "
"Hexokinase type II","HK2","P52789","CHEMBL2640","Enzyme","0.0","0 /  5     "
"Hexokinase type I","HK1","P19367","CHEMBL2688","Enzyme","0.0","0 /  5     "
"Muscarinic acetylcholine receptor M2","CHRM2","P08172","CHEMBL211","Family A G protein-coupled receptor","0.0","0 /  5     "
"Muscarinic acetylcholine receptor M1","CHRM1","P11229","CHEMBL216","Family A G protein-coupled receptor","0.0","0 /  5     "
"Glutamate carboxypeptidase II","FOLH1","Q04609","CHEMBL1892","Protease","0.0","9 /  0     "
"Asparagine synthetase","ASNS","P08243","CHEMBL3120","Enzyme","0.0","1 /  0     "
"AMY1C","AMY1A","P04745","CHEMBL2478","Enzyme","0.0","2 /  3     "
"Lysosomal alpha-glucosidase","GAA","P10253","CHEMBL2608","Hydrolase","0.0","1 /  7     "
"Polyadenylate-binding protein 1","PABPC1","P11940","CHEMBL1293286","Unclassified protein","0.0","0 /  1     "
"Bile salt export pump","ABCB11","O95342","CHEMBL6020","Primary active transporter","0.0","0 /  1     "
"Folylpoly-gamma-glutamate synthetase","FPGS","Q05932","CHEMBL3171","Enzyme","0.0","3 /  0     "
"Adenosine A1 receptor","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.0","3 /  0     "
"Troponin, cardiac muscle","TNNC1 TNNT2 TNNI3","P63316 P45379 P19429","CHEMBL2095202","Unclassified protein","0.0","1 /  0     "
"Thymidylate synthase   (by homology)","TYMS","P04818","CHEMBL1952","Transferase","0.0","6 /  0     "
"Caspase-3","CASP3","P42574","CHEMBL2334","Protease","0.0","4 /  0     "
"Aldose reductase   (by homology)","AKR1B1","P15121","CHEMBL1900","Enzyme","0.0","2 /  0     "
"Acyl coenzyme A:cholesterol acyltransferase 1","SOAT1","P35610","CHEMBL2782","Enzyme","0.0","0 /  1     "
"P-selectin","SELP","P16109","CHEMBL5378","Adhesion","0.0","1 /  26     "
"Interleukin-2","IL2","P60568","CHEMBL5880","Secreted protein","0.0","1 /  0     "
"Pyrimidinergic receptor P2Y4","P2RY4","P51582","CHEMBL2123","Family A G protein-coupled receptor","0.0","8 /  0     "
"Purinergic receptor P2Y2","P2RY2","P41231","CHEMBL4398","Family A G protein-coupled receptor","0.0","8 /  0     "
"Pyrimidinergic receptor P2Y6","P2RY6","Q15077","CHEMBL4714","Family A G protein-coupled receptor","0.0","8 /  0     "
"Matrix metalloproteinase 12","MMP12","P39900","CHEMBL4393","Protease","0.0","1 /  0     "
"Niemann-Pick C1-like protein 1","NPC1L1","Q9UHC9","CHEMBL2027","Other membrane protein","0.0","0 /  5     "
"Motilin receptor","MLNR","O43193","CHEMBL2203","Family A G protein-coupled receptor","0.0","0 /  7     "
"Mu opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.0","0 /  8     "
"Delta opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.0","0 /  7     "
"T-cell protein-tyrosine phosphatase","PTPN2","P17706","CHEMBL3807","Phosphatase","0.0","0 /  1     "
"Cathepsin K","CTSK","P43235","CHEMBL268","Protease","0.0","0 /  1     "
