"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Platelet activating factor receptor","PTAFR","P25105","CHEMBL250","Family A G protein-coupled receptor","0.112041901328","0 /  1     "
"Fatty acid binding protein muscle","FABP3","P05413","CHEMBL3344","Fatty acid binding protein family","0.112041901328","0 /  1     "
"Probable G-protein coupled receptor 34","GPR34","Q9UPC5","CHEMBL3562165","Family A G protein-coupled receptor","0.112041901328","0 /  18     "
"Putative P2Y purinoceptor 10","P2RY10","O00398","CHEMBL3562166","Family A G protein-coupled receptor","0.112041901328","0 /  40     "
"Probable G-protein coupled receptor 174","GPR174","Q9BXC1","CHEMBL3562167","Family A G protein-coupled receptor","0.112041901328","0 /  24     "
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","0.112041901328","14 /  0     "
"Carbonic anhydrase I","CA1","P00915","CHEMBL261","Lyase","0.112041901328","8 /  0     "
"Lysophosphatidic acid receptor Edg-7","LPAR3","Q9UBY5","CHEMBL3250","Family A G protein-coupled receptor","0.0","0 /  15     "
"Autotaxin","ENPP2","Q13822","CHEMBL3691","Enzyme","0.0","0 /  15     "
"Lysophosphatidic acid receptor Edg-2","LPAR1","Q92633","CHEMBL3819","Family A G protein-coupled receptor","0.0","0 /  13     "
"Adenosine A1 receptor   (by homology)","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.0","32 /  0     "
"Tyrosine-protein kinase SRC","SRC","P12931","CHEMBL267","Kinase","0.0","19 /  0     "
"Endothelin receptor ET-A   (by homology)","EDNRA","P25101","CHEMBL252","Family A G protein-coupled receptor","0.0","2 /  0     "
"Serotonin 6 (5-HT6) receptor","HTR6","P50406","CHEMBL3371","Family A G protein-coupled receptor","0.0","11 /  0     "
"Adenosine kinase","ADK","P55263","CHEMBL3589","Enzyme","0.0","3 /  0     "
"Sodium/glucose cotransporter 2","SLC5A2","P31639","CHEMBL3884","Electrochemical transporter","0.0","5 /  0     "
"Sodium/glucose cotransporter 1","SLC5A1","P13866","CHEMBL4979","Electrochemical transporter","0.0","3 /  0     "
"Peptide N-myristoyltransferase 1","NMT1","P30419","CHEMBL2593","Enzyme","0.0","1 /  0     "
"Matrix metalloproteinase 2","MMP2","P08253","CHEMBL333","Protease","0.0","3 /  0     "
"Adrenergic receptor beta","ADRB2","P07550","CHEMBL210","Family A G protein-coupled receptor","0.0","5 /  0     "
"Trace amine-associated receptor 1   (by homology)","TAAR1","Q96RJ0","CHEMBL5857","Family A G protein-coupled receptor","0.0","25 /  0     "
"Protein kinase C iota","PRKCI","P41743","CHEMBL2598","Kinase","0.0","2 /  0     "
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.0","3 /  0     "
"Beta-1 adrenergic receptor   (by homology)","ADRB1","P08588","CHEMBL213","Family A G protein-coupled receptor","0.0","8 /  0     "
"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase","MAN1B1","Q9UKM7","CHEMBL2308","Enzyme","0.0","8 /  0     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","0.0","16 /  0     "
"Serine/threonine-protein kinase AKT","AKT1","P31749","CHEMBL4282","Kinase","0.0","2 /  10     "
"Alpha-mannosidase 2A1","MAN2A1","Q16706","CHEMBL4056","Enzyme","0.0","3 /  0     "
"Von Hippel-Lindau disease tumor suppressor/Elongin B/Elongin C","VHL","P40337","CHEMBL3108660","Unclassified protein","0.0","1 /  0     "
"Isoleucyl-tRNA synthetase","IARS","P41252","CHEMBL3235","Enzyme","0.0","8 /  0     "
"Cyclin-dependent kinase 2/cyclin E","CCNE2 CDK2 CCNE1","O96020 P24941 P24864","CHEMBL2094126","Other cytosolic protein","0.0","4 /  0     "
"P-selectin","SELP","P16109","CHEMBL5378","Adhesion","0.0","0 /  1     "
"Adenosine A3 receptor","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.0","29 /  0     "
"Epidermal growth factor receptor erbB1","EGFR","P00533","CHEMBL203","Kinase","0.0","10 /  0     "
"Histamine H1 receptor","HRH1","P35367","CHEMBL231","Family A G protein-coupled receptor","0.0","1 /  0     "
"PI3-kinase p110-alpha subunit","PIK3CA","P42336","CHEMBL4005","Enzyme","0.0","3 /  0     "
"PI3-kinase p110-gamma subunit","PIK3CG","P48736","CHEMBL3267","Enzyme","0.0","5 /  0     "
"Heat shock protein HSP 90-beta","HSP90AB1","P08238","CHEMBL4303","Other cytosolic protein","0.0","4 /  0     "
"Indoleamine 2,3-dioxygenase","IDO1","P14902","CHEMBL4685","Enzyme","0.0","1 /  0     "
"Fructose-1,6-bisphosphatase","FBP1","P09467","CHEMBL3975","Enzyme","0.0","1 /  0     "
"Hypoxanthine-guanine phosphoribosyltransferase","HPRT1","P00492","CHEMBL2360","Enzyme","0.0","3 /  0     "
"Serine/threonine-protein kinase Sgk1","SGK1","O00141","CHEMBL2343","Kinase","0.0","4 /  0     "
"ALK tyrosine kinase receptor","ALK","Q9UM73","CHEMBL4247","Kinase","0.0","1 /  0     "
"Macrophage colony stimulating factor receptor","CSF1R","P07333","CHEMBL1844","Kinase","0.0","4 /  0     "
"C-C chemokine receptor type 4","CCR4","P51679","CHEMBL2414","Family A G protein-coupled receptor","0.0","6 /  0     "
"Histamine H4 receptor","HRH4","Q9H3N8","CHEMBL3759","Family A G protein-coupled receptor","0.0","1 /  0     "
"S-methyl-5-thioadenosine phosphorylase","MTAP","Q13126","CHEMBL4941","Enzyme","0.0","4 /  0     "
"ATP-sensitive inward rectifier potassium channel 1","KCNJ1","P48048","CHEMBL1293292","Voltage-gated ion channel","0.0","4 /  0     "
"Beta-glucocerebrosidase","GBA","P04062","CHEMBL2179","Enzyme","0.0","10 /  0     "
"HERG","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.0","5 /  0     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.0","4 /  0     "
"Adenosine A2a receptor","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","0.0","40 /  0     "
"PI3-kinase p110-delta subunit","PIK3CD","O00329","CHEMBL3130","Enzyme","0.0","2 /  0     "
"Leucine-rich repeat serine/threonine-protein kinase 2","LRRK2","Q5S007","CHEMBL1075104","Kinase","0.0","2 /  0     "
"Interleukin-8 receptor B","CXCR2","P25025","CHEMBL2434","Family A G protein-coupled receptor","0.0","1 /  0     "
"Adenosine A2b receptor","ADORA2B","P29275","CHEMBL255","Family A G protein-coupled receptor","0.0","3 /  0     "
"Histamine H3 receptor","HRH3","Q9Y5N1","CHEMBL264","Family A G protein-coupled receptor","0.0","4 /  0     "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.0","1 /  0     "
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","0.0","1 /  0     "
"Leucyl-tRNA synthetase","LARS","Q9P2J5","CHEMBL3258","Enzyme","0.0","3 /  0     "
"G-protein coupled receptor 55","GPR55","Q9Y2T6","CHEMBL1075322","Family A G protein-coupled receptor","0.0","0 /  4     "
"Phospholipase C-gamma-2","PLCG2","P16885","CHEMBL4100","Hydrolase","0.0","0 /  1     "
"Inhibitor of nuclear factor kappa B kinase beta subunit","IKBKB","O14920","CHEMBL1991","Kinase","0.0","2 /  0     "
"Threonyl-tRNA synthetase","TARS","P26639","CHEMBL3391","Enzyme","0.0","5 /  0     "
"Hepatocyte growth factor receptor","MET","P08581","CHEMBL3717","Kinase","0.0","3 /  0     "
"Solute carrier family 22 member 12","SLC22A12","Q96S37","CHEMBL6120","Electrochemical transporter","0.0","2 /  0     "
"Inhibitor of NF-kappa-B kinase (IKK)","CHUK","O15111","CHEMBL3476","Kinase","0.0","1 /  0     "
"G-protein coupled receptor 4","GPR4","P46093","CHEMBL3638324","Family A G protein-coupled receptor","0.0","2 /  0     "
"Phosphodiesterase 5A","PDE5A","O76074","CHEMBL1827","Phosphodiesterase","0.0","4 /  0     "
"Serine/threonine-protein kinase PIM1","PIM1","P11309","CHEMBL2147","Kinase","0.0","4 /  0     "
"Asparagine synthetase","ASNS","P08243","CHEMBL3120","Enzyme","0.0","1 /  0     "
"Tyrosyl-tRNA synthetase","YARS","P54577","CHEMBL3179","Enzyme","0.0","1 /  0     "
"Beta-galactoside alpha-2,6-sialyltransferase 1","ST6GAL1","P15907","CHEMBL3596075","Transferase","0.0","2 /  0     "
"Methionine aminopeptidase 2","METAP2","P50579","CHEMBL3922","Protease","0.0","2 /  0     "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.0","1 /  0     "
"Neuropilin-1   (by homology)","NRP1","O14786","CHEMBL5174","Secreted protein","0.0","1 /  0     "
"Lysophosphatidic acid receptor 6","LPAR6","P43657","CHEMBL2331058","Family A G protein-coupled receptor","0.0","0 /  6     "
"Lysophosphatidic acid receptor Edg-4","LPAR2","Q9HBW0","CHEMBL3724","Family A G protein-coupled receptor","0.0","0 /  9     "
"Lysophosphatidic acid receptor 5","LPAR5","Q9H1C0","CHEMBL5700","Family A G protein-coupled receptor","0.0","0 /  6     "
"Lysophosphatidic acid receptor 4","LPAR4","Q99677","CHEMBL5968","Family A G protein-coupled receptor","0.0","0 /  6     "
"Methionyl-tRNA synthetase","MARS","P56192","CHEMBL2870","Enzyme","0.0","1 /  0     "
"Interleukin-1 receptor-associated kinase 4","IRAK4","Q9NWZ3","CHEMBL3778","Kinase","0.0","3 /  0     "
"Bradykinin B1 receptor","BDKRB1","P46663","CHEMBL4308","Family A G protein-coupled receptor","0.0","1 /  0     "
"Alpha-2a adrenergic receptor","ADRA2A","P08913","CHEMBL1867","Family A G protein-coupled receptor","0.0","3 /  0     "
"Adrenergic receptor alpha-2","ADRA2C","P18825","CHEMBL1916","Family A G protein-coupled receptor","0.0","2 /  0     "
"Alpha-2b adrenergic receptor","ADRA2B","P18089","CHEMBL1942","Family A G protein-coupled receptor","0.0","2 /  0     "
"Serotonin 1a (5-HT1a) receptor","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.0","1 /  0     "
"Alpha-1d adrenergic receptor","ADRA1D","P25100","CHEMBL223","Family A G protein-coupled receptor","0.0","1 /  0     "
"Alpha-1a adrenergic receptor","ADRA1A","P35348","CHEMBL229","Family A G protein-coupled receptor","0.0","1 /  0     "
"Alpha-1b adrenergic receptor","ADRA1B","P35368","CHEMBL232","Family A G protein-coupled receptor","0.0","1 /  0     "
"Mannose-6-phosphate isomerase","MPI","P34949","CHEMBL2758","Isomerase","0.0","1 /  0     "
"Serine/threonine-protein kinase mTOR","MTOR","P42345","CHEMBL2842","Kinase","0.0","12 /  0     "
"DNA topoisomerase I","TOP1","P11387","CHEMBL1781","Isomerase","0.0","2 /  0     "
"Tyrosine-protein kinase ABL","ABL1","P00519","CHEMBL1862","Kinase","0.0","1 /  0     "
"Cyclin-dependent kinase 4/cyclin D1","CCND1 CDK4","P24385 P11802","CHEMBL1907601","Kinase","0.0","2 /  0     "
"Stem cell growth factor receptor","KIT","P10721","CHEMBL1936","Kinase","0.0","1 /  0     "
"Tyrosine-protein kinase YES","YES1","P07947","CHEMBL2073","Kinase","0.0","1 /  0     "
"Tyrosine-protein kinase LCK","LCK","P06239","CHEMBL258","Kinase","0.0","1 /  0     "
"Tyrosine-protein kinase CSK","CSK","P41240","CHEMBL2634","Kinase","0.0","1 /  0     "
"Phosphodiesterase 4B","PDE4B","Q07343","CHEMBL275","Phosphodiesterase","0.0","2 /  0     "
