"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Neurokinin 2 receptor","TACR2","P21452","CHEMBL2327","Family A G protein-coupled receptor","0.0513021102812","201 /  43     "
"Cytochrome P450 3A4","CYP3A4","P08684","CHEMBL340","Cytochrome P450","0.041891066893","25 /  1     "
"Thromboxane-A synthase","TBXAS1","P24557","CHEMBL1835","Cytochrome P450","0.041891066893","3 /  2     "
"FK506-binding protein 1A","FKBP1A","P62942","CHEMBL1902","Isomerase","0.041891066893","74 /  0     "
"Peptidyl-prolyl cis-trans isomerase FKBP5","FKBP5","Q13451","CHEMBL2052031","Enzyme","0.041891066893","14 /  0     "
"FK506 binding protein 4","FKBP4","Q02790","CHEMBL4050","Enzyme","0.041891066893","8 /  0     "
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.041891066893","69 /  0     "
"Serine/threonine protein phosphatase 2B catalytic subunit, alpha isoform","PPP3CA","Q08209","CHEMBL4445","Phosphatase","0.041891066893","12 /  0     "
"Multidrug and toxin extrusion protein 1","SLC47A1","Q96FL8","CHEMBL1743126","Electrochemical transporter","0.041891066893","1 /  1     "
"Multidrug and toxin extrusion protein 2","SLC47A2","Q86VL8","CHEMBL1743127","Electrochemical transporter","0.041891066893","1 /  1     "
"MAP kinase ERK2","MAPK1","P28482","CHEMBL4040","Kinase","0.041891066893","150 /  0     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","0.041891066893","353 /  0     "
"Fibroblast growth factor receptor 1","FGFR1","P11362","CHEMBL3650","Kinase","0.041891066893","66 /  0     "
"Serine/threonine-protein kinase mTOR","MTOR","P42345","CHEMBL2842","Kinase","0.041891066893","629 /  0     "
"Phosphodiesterase 10A","PDE10A","Q9Y233","CHEMBL4409","Phosphodiesterase","0.041891066893","258 /  0     "
"Pepsin A","PGA5","P0DJD9","CHEMBL3295","Protease","0.041891066893","7 /  0     "
"Acetyl-coenzyme A transporter 1","SLC33A1","O00400","CHEMBL3638338","Electrochemical transporter","0.041891066893","68 /  0     "
"Splicing factor 3B subunit 3","SF3B3","Q15393","CHEMBL1250378","Unclassified protein","0.041891066893","8 /  0     "
"Pepsinogen C","PGC","P20142","CHEMBL2136","Protease","0.041891066893","3 /  0     "
"c-Jun N-terminal kinase 1","MAPK8","P45983","CHEMBL2276","Kinase","0.041891066893","132 /  0     "
"Tyrosine-protein kinase receptor UFO","AXL","P30530","CHEMBL4895","Kinase","0.041891066893","47 /  0     "
"Proto-oncogene tyrosine-protein kinase MER","MERTK","Q12866","CHEMBL5331","Kinase","0.041891066893","55 /  0     "
"Tyrosine-protein kinase receptor FLT3","FLT3","P36888","CHEMBL1974","Kinase","0.041891066893","85 /  0     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.041891066893","66 /  0     "
"NAD-dependent deacetylase sirtuin 2","SIRT2","Q8IXJ6","CHEMBL4462","Eraser","0.041891066893","5 /  0     "
"Tyrosine-protein kinase receptor TYRO3","TYRO3","Q06418","CHEMBL5314","Kinase","0.041891066893","53 /  0     "
"PI3-kinase p110-delta subunit","PIK3CD","O00329","CHEMBL3130","Enzyme","0.041891066893","116 /  0     "
"Cyclin-dependent kinase 4/cyclin D1","CCND1 CDK4","P24385 P11802","CHEMBL1907601","Kinase","0.041891066893","20 /  0     "
