"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.0312265582077","7 /  0     "
"Estrogen receptor alpha","ESR1","P03372","CHEMBL206","Nuclear receptor","0.0312265582077","11 /  3     "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.0312265582077","29 /  3     "
"Sulfonylurea receptor 2","ABCC9","O60706","CHEMBL1971","Primary active transporter","0.0312265582077","27 /  0     "
"Integrin alpha-4/beta-7","ITGB7 ITGA4","P26010 P13612","CHEMBL2095184","Membrane receptor","0.0312265582077","3 /  0     "
"Legumain   (by homology)","LGMN","Q99538","CHEMBL4244","Protease","0.0312265582077","11 /  0     "
"Prostatic acid phosphatase","ACPP","P15309","CHEMBL2633","Enzyme","0.0312265582077","11 /  0     "
"P2X purinoceptor 3","P2RX3","P56373","CHEMBL2998","Ligand-gated ion channel","0.0312265582077","33 /  0     "
"Cytochrome P450 3A4","CYP3A4","P08684","CHEMBL340","Cytochrome P450","0.0312265582077","1 /  0     "
"Cytochrome P450 2C19","CYP2C19","P33261","CHEMBL3622","Cytochrome P450","0.0312265582077","3 /  0     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.0312265582077","165 /  0     "
"c-Jun N-terminal kinase 3","MAPK10","P53779","CHEMBL2637","Kinase","0.0312265582077","44 /  0     "
"Caspase-7","CASP7","P55210","CHEMBL3468","Protease","0.0312265582077","60 /  0     "
"Fructose-1,6-bisphosphatase","FBP1","P09467","CHEMBL3975","Enzyme","0.0312265582077","51 /  0     "
"Phosphodiesterase 10A   (by homology)","PDE10A","Q9Y233","CHEMBL4409","Phosphodiesterase","0.0312265582077","222 /  0     "
"Adenosine A2a receptor","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","0.0312265582077","316 /  0     "
"Adenosine A2b receptor","ADORA2B","P29275","CHEMBL255","Family A G protein-coupled receptor","0.0312265582077","161 /  0     "
"Proteasome Macropain subunit","PSMB2","P49721","CHEMBL3492","Protease","0.0312265582077","1 /  0     "
"26S proteosome","PSMB1","P20618","CHEMBL4208","Protease","0.0312265582077","1 /  0     "
"Proteasome Macropain subunit MB1","PSMB5","P28074","CHEMBL4662","Protease","0.0312265582077","7 /  0     "
"Adenosine A1 receptor","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.0312265582077","294 /  0     "
"Amine oxidase, copper containing","AOC3","Q16853","CHEMBL3437","Enzyme","0.0312265582077","26 /  0     "
"Cyclin-dependent kinase 1/cyclin B","CCNB3 CDK1 CCNB1 CCNB2","Q8WWL7 P06493 P14635 O95067","CHEMBL2094127","Other cytosolic protein","0.0312265582077","9 /  0     "
"Troponin, cardiac muscle","TNNC1 TNNT2 TNNI3","P63316 P45379 P19429","CHEMBL2095202","Unclassified protein","0.0312265582077","3 /  0     "
"Serine/threonine-protein kinase Aurora-A","AURKA","O14965","CHEMBL4722","Kinase","0.0312265582077","85 /  0     "
