"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"GABA A receptor alpha-2/beta-2/gamma-2","GABRA2 GABRB2 GABRG2","P47869 P47870 P18507","CHEMBL2111413","Ligand-gated ion channel","0.033970689612","3 /  0     "
"GABA receptor rho-1 subunit","GABRR1","P24046","CHEMBL3561","Ligand-gated ion channel","0.033970689612","3 /  0     "
"GABA-A receptor; alpha-1/beta-2/gamma-2","GABRA1 GABRB2 GABRG2","P14867 P47870 P18507","CHEMBL2095172","Ligand-gated ion channel","0.0","1 /  0     "
"GABA A receptor alpha-3/beta-2/gamma-2","GABRA3 GABRB2 GABRG2","P34903 P47870 P18507","CHEMBL2111339","Ligand-gated ion channel","0.0","2 /  0     "
"Ornithine decarboxylase","ODC1","P11926","CHEMBL1869","Lyase","0.0","1 /  0     "
"Glutamate receptor ionotropic kainate 1","GRIK1","P39086","CHEMBL1918","Ligand-gated ion channel","0.0","7 /  0     "
"Glutamate receptor ionotropic, AMPA 1","GRIA1","P42261","CHEMBL2009","Ligand-gated ion channel","0.0","8 /  0     "
"Adenosine A3 receptor","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.0","1 /  0     "
"Glutamate receptor ionotropic kainate 5","GRIK5","Q16478","CHEMBL2675","Ligand-gated ion channel","0.0","7 /  0     "
"Glutamate receptor ionotropic, AMPA 4","GRIA4","P48058","CHEMBL3190","Ligand-gated ion channel","0.0","8 /  0     "
"Glutamate receptor ionotropic kainate 2","GRIK2","Q13002","CHEMBL3683","Ligand-gated ion channel","0.0","7 /  0     "
"Glutamate receptor ionotropic kainate 3","GRIK3","Q13003","CHEMBL3684","Ligand-gated ion channel","0.0","1 /  0     "
"Metabotropic glutamate receptor 6","GRM6","O15303","CHEMBL4573","Family C G protein-coupled receptor","0.0","6 /  0     "
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","0.0","7 /  0     "
"Carbonic anhydrase I","CA1","P00915","CHEMBL261","Lyase","0.0","4 /  0     "
"Carbonic anhydrase XII","CA12","O43570","CHEMBL3242","Lyase","0.0","5 /  0     "
"Carbonic anhydrase IX","CA9","Q16790","CHEMBL3594","Lyase","0.0","5 /  0     "
"Farnesyl diphosphate synthase","FDPS","P14324","CHEMBL1782","Transferase","0.0","11 /  0     "
"Metabotropic glutamate receptor 3","GRM3","Q14832","CHEMBL2888","Family C G protein-coupled receptor","0.0","12 /  0     "
"Metabotropic glutamate receptor 8","GRM8","O00222","CHEMBL3228","Family C G protein-coupled receptor","0.0","1 /  0     "
"Metabotropic glutamate receptor 2","GRM2","Q14416","CHEMBL5137","Family C G protein-coupled receptor","0.0","16 /  0     "
"Aminopeptidase A","ENPEP","Q07075","CHEMBL3439","Protease","0.0","7 /  0     "
"Thymidine phosphorylase   (by homology)","TYMP","P19971","CHEMBL3106","Enzyme","0.0","3 /  0     "
