"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Steryl-sulfatase","STS","P08842","CHEMBL3559","Enzyme","0.0604245879294","0 /  66     "
"Catechol O-methyltransferase   (by homology)","COMT","P21964","CHEMBL2023","Transferase","0.0604245879294","1 /  5     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.0604245879294","0 /  31     "
"Prostanoid FP receptor","PTGFR","P43088","CHEMBL1987","Family A G protein-coupled receptor","0.0604245879294","0 /  16     "
"Endothelin-converting enzyme 1","ECE1","P42892","CHEMBL4791","Protease","0.0604245879294","9 /  0     "
"Serotonin 1a (5-HT1a) receptor","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.0604245879294","1 /  7     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.0604245879294","0 /  36     "
"Arachidonate 15-lipoxygenase","ALOX15","P16050","CHEMBL2903","Enzyme","0.0604245879294","0 /  15     "
"Leukotriene B4 receptor 1","LTB4R","Q15722","CHEMBL3911","Family A G protein-coupled receptor","0.0604245879294","0 /  5     "
"Estradiol 17-beta-dehydrogenase 3","HSD17B3","P37058","CHEMBL4234","Enzyme","0.0604245879294","0 /  12     "
"AMP deaminase 3","AMPD3","Q01432","CHEMBL2912","Enzyme","0.0604245879294","7 /  0     "
"Tyrosine-protein kinase FYN","FYN","P06241","CHEMBL1841","Kinase","0.0604245879294","5 /  6     "
"Estradiol 17-beta-dehydrogenase 2","HSD17B2","P37059","CHEMBL2789","Enzyme","0.0604245879294","0 /  2     "
"Epidermal growth factor receptor erbB1","EGFR","P00533","CHEMBL203","Kinase","0.0604245879294","5 /  4     "
"Urokinase-type plasminogen activator","PLAU","P00749","CHEMBL3286","Protease","0.0604245879294","4 /  0     "
"Estradiol 17-beta-dehydrogenase 1","HSD17B1","P14061","CHEMBL3181","Enzyme","0.0604245879294","0 /  40     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.0604245879294","0 /  42     "
"DNA polymerase alpha subunit","POLA1","P09884","CHEMBL1828","Transferase","0.0604245879294","0 /  15     "
"LXR-alpha","NR1H3","Q13133","CHEMBL2808","Nuclear receptor","0.0604245879294","0 /  22     "
"LXR-beta","NR1H2","P55055","CHEMBL4093","Nuclear receptor","0.0604245879294","0 /  21     "
"Focal adhesion kinase 1","PTK2","Q05397","CHEMBL2695","Kinase","0.0604245879294","0 /  2     "
