"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","0.729303187844","33 /  13     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.729303187844","1 /  29     "
"Carbonic anhydrase VII","CA7","P43166","CHEMBL2326","Lyase","0.729303187844","11 /  19     "
"Carbonic anhydrase I","CA1","P00915","CHEMBL261","Lyase","0.729303187844","28 /  16     "
"Carbonic anhydrase VI","CA6","P23280","CHEMBL3025","Lyase","0.729303187844","8 /  15     "
"Matrix metalloproteinase 9","MMP9","P14780","CHEMBL321","Protease","0.729303187844","2 /  35     "
"Carbonic anhydrase XII","CA12","O43570","CHEMBL3242","Lyase","0.729303187844","19 /  14     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.729303187844","2 /  34     "
"Matrix metalloproteinase 2","MMP2","P08253","CHEMBL333","Protease","0.729303187844","2 /  36     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.729303187844","18 /  2     "
"Carbonic anhydrase XIV","CA14","Q9ULX7","CHEMBL3510","Lyase","0.729303187844","10 /  18     "
"Carbonic anhydrase IX","CA9","Q16790","CHEMBL3594","Lyase","0.729303187844","15 /  18     "
"Carbonic anhydrase VB","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.729303187844","5 /  13     "
"Carbonic anhydrase VA","CA5A","P35218","CHEMBL4789","Lyase","0.729303187844","6 /  14     "
"Carbonic anhydrase III","CA3","P07451","CHEMBL2885","Lyase","0.212408695957","4 /  3     "
"Aldose reductase","AKR1B1","P15121","CHEMBL1900","Enzyme","0.150923844771","11 /  35     "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.150923844771","1 /  10     "
"Carbonic anhydrase IV","CA4","P22748","CHEMBL3729","Lyase","0.150923844771","3 /  8     "
"Aldo-keto reductase family 1 member B10","AKR1B10","O60218","CHEMBL5983","Enzyme","0.080569968052","0 /  18     "
"Hydroxycarboxylic acid receptor 2","HCAR2","Q8TDS4","CHEMBL3785","Family A G protein-coupled receptor","0.080569968052","0 /  1     "
"Carbonic anhydrase XIII","CA13","Q8N1Q1","CHEMBL3912","Lyase","0.080569968052","4 /  10     "
"Macrophage migration inhibitory factor","MIF","P14174","CHEMBL2085","Enzyme","0.080569968052","1 /  1     "
"Quinone reductase 2","NQO2","P16083","CHEMBL3959","Enzyme","0.0717871625222","0 /  17     "
"Toll-like receptor 4   (by homology)","TLR4","O00206","CHEMBL5255","Toll-like and Il-1 receptors","0.0717871625222","0 /  20     "
"Receptor protein-tyrosine kinase erbB-2","ERBB2","P04626","CHEMBL1824","Kinase","0.0717871625222","0 /  3     "
"Estrogen receptor alpha","ESR1","P03372","CHEMBL206","Nuclear receptor","0.0717871625222","0 /  22     "
"Norepinephrine transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.0717871625222","0 /  3     "
"MAP kinase ERK2","MAPK1","P28482","CHEMBL4040","Kinase","0.0717871625222","0 /  1     "
"Aldo-keto reductase family 1 member C4","AKR1C4","P17516","CHEMBL4999","Enzyme","0.0717871625222","0 /  1     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","0.0717871625222","0 /  1     "
"Beta amyloid A4 protein","APP","P05067","CHEMBL2487","Membrane receptor","0.0717871625222","0 /  44     "
"Tyrosine-protein kinase FYN","FYN","P06241","CHEMBL1841","Kinase","0.0717871625222","3 /  2     "
"Tyrosine-protein kinase LCK","LCK","P06239","CHEMBL258","Kinase","0.0717871625222","2 /  6     "
"Low affinity neurotrophin receptor p75NTR","NGFR","P08138","CHEMBL4762","Membrane receptor","0.0717871625222","2 /  0     "
"Epidermal growth factor receptor erbB1","EGFR","P00533","CHEMBL203","Kinase","0.0717871625222","4 /  38     "
"Thiopurine S-methyltransferase","TPMT","P51580","CHEMBL2500","Enzyme","0.0717871625222","4 /  0     "
"C-terminal-binding protein 2","CTBP2","P56545","CHEMBL3797016","Unclassified protein","0.0717871625222","10 /  0     "
"Monoamine oxidase B","MAOB","P27338","CHEMBL2039","Oxidoreductase","0.0717871625222","2 /  17     "
"PI3-kinase p110-beta subunit","PIK3CB","P42338","CHEMBL3145","Enzyme","0.0717871625222","0 /  1     "
"Cytochrome P450 1A2","CYP1A2","P05177","CHEMBL3356","Cytochrome P450","0.0717871625222","0 /  5     "
